,id,name,custom,orderable,navigable,searchable,clauseNames,schema
0,resolution,Resolution,False,True,True,True,['resolution'],"{'type': 'resolution', 'system': 'resolution'}"
1,customfield_12312322,Git Notification Mailing List,True,True,True,True,"['cf[12312322]', 'Git Notification Mailing List']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312322}"
2,customfield_12314622,required-knowledge,True,True,True,True,"['cf[12314622]', 'required-knowledge']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12314622}"
3,customfield_12312323,Github Integration,True,True,True,True,"['cf[12312323]', 'Github Integration']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12312323}"
4,customfield_12314621,difficulty-level,True,True,True,True,"['cf[12314621]', 'difficulty-level']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12314621}"
5,customfield_12312320,Git Repository Name,True,True,True,True,"['cf[12312320]', 'Git Repository Name']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312320}"
6,customfield_12314620,potential-mentor,True,True,True,True,"['cf[12314620]', 'potential-mentor']","{'type': 'array', 'items': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker', 'customId': 12314620}"
7,customfield_12312321,Git Repository Type,True,True,True,True,"['cf[12312321]', 'Git Repository Type']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12312321}"
8,customfield_12310020,Cc,True,True,True,True,"['Cc', 'cf[12310020]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12310020}"
9,customfield_12312328,Blog Administrator?,True,True,True,True,"['Blog Administrator?', 'cf[12312328]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12312328}"
10,customfield_12312329,Blogs - Admin for blog,True,True,True,True,"['Blogs - Admin for blog', 'cf[12312329]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312329}"
11,customfield_12312326,Blogs - Username,True,True,True,True,"['Blogs - Username', 'cf[12312326]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312326}"
12,customfield_12312327,Blogs - Email Address,True,True,True,True,"['Blogs - Email Address', 'cf[12312327]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312327}"
13,customfield_12312324,Git Repository Import Path,True,True,True,True,"['cf[12312324]', 'Git Repository Import Path']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:url', 'customId': 12312324}"
14,customfield_12312325,New-TLP-TLPName,True,True,True,True,"['cf[12312325]', 'New-TLP-TLPName']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312325}"
15,customfield_12314623,useful-knowledge,True,True,True,True,"['cf[12314623]', 'useful-knowledge']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12314623}"
16,lastViewed,Last Viewed,False,False,True,False,['lastViewed'],"{'type': 'datetime', 'system': 'lastViewed'}"
17,labels,Labels,False,True,True,True,['labels'],"{'type': 'array', 'items': 'string', 'system': 'labels'}"
18,customfield_12312333,Blogs - New Blog Write Access,True,True,True,True,"['Blogs - New Blog Write Access', 'cf[12312333]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12312333}"
19,customfield_12311123,Epic Colour,True,True,True,True,"['cf[12311123]', 'Epic Colour']","{'type': 'string', 'custom': 'com.pyxis.greenhopper.jira:gh-epic-color', 'customId': 12311123}"
20,customfield_12312334,Blogs - Existing Blog Name,True,True,True,True,"['Blogs - Existing Blog Name', 'cf[12312334]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312334}"
21,customfield_12313422,Enable Automatic Patch Review,True,True,True,True,"['cf[12313422]', 'Enable Automatic Patch Review']","{'type': 'string', 'custom': 'com.atlassian.jirafisheyeplugin:jobcheckbox', 'customId': 12313422}"
22,customfield_12311124,Tester,True,True,True,True,"['cf[12311124]', 'Tester']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 12311124}"
23,customfield_12312331,Blog - New Blog PMC,True,True,True,True,"['Blog - New Blog PMC', 'cf[12312331]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312331}"
24,customfield_12311121,Epic Name,True,True,True,True,"['cf[12311121]', 'Epic Name']","{'type': 'string', 'custom': 'com.pyxis.greenhopper.jira:gh-epic-label', 'customId': 12311121}"
25,customfield_12312332,Blog - New Blog Administrators,True,True,True,True,"['Blog - New Blog Administrators', 'cf[12312332]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12312332}"
26,customfield_12311122,Epic Status,True,True,True,True,"['cf[12311122]', 'Epic Status']","{'type': 'option', 'custom': 'com.pyxis.greenhopper.jira:gh-epic-status', 'customId': 12311122}"
27,customfield_12313420,Reviewers,True,True,True,True,"['cf[12313420]', 'Reviewers']","{'type': 'array', 'items': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker', 'customId': 12313420}"
28,aggregatetimeoriginalestimate,Σ Original Estimate,False,False,True,False,[],"{'type': 'number', 'system': 'aggregatetimeoriginalestimate'}"
29,customfield_12310271,Backport to Version,True,True,True,True,"['Backport to Version', 'cf[12310271]']","{'type': 'array', 'items': 'version', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiversion', 'customId': 12310271}"
30,customfield_12310150,Bugtraq ID,True,True,True,True,"['Bugtraq ID', 'cf[12310150]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12310150}"
31,customfield_12312330,Blog - Write access,True,True,True,True,"['Blog - Write access', 'cf[12312330]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12312330}"
32,customfield_12311120,Epic Link,True,True,True,True,"['cf[12311120]', 'Epic Link']","{'type': 'any', 'custom': 'com.pyxis.greenhopper.jira:gh-epic-link', 'customId': 12311120}"
33,customfield_12310270,Skill Level,True,True,True,True,"['cf[12310270]', 'Skill Level']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12310270}"
34,issuelinks,Linked Issues,False,True,True,True,[],"{'type': 'array', 'items': 'issuelinks', 'system': 'issuelinks'}"
