,id,name,custom,orderable,navigable,searchable,clauseNames,schema
0,customfield_18232,Confluence Page Id,True,True,True,True,"['cf[18232]', 'Confluence Page Id']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 18232}"
1,customfield_22731,Preventable by,True,True,True,True,"['cf[22731]', 'Preventable by']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 22731}"
2,customfield_22730,Was this caused by a recent change?,True,True,True,True,"['cf[22730]', 'Was this caused by a recent change?']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons', 'customId': 22730}"
3,customfield_20430,Target Release Date,True,True,True,True,"['cf[20430]', 'Target Release Date']","{'type': 'date', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datepicker', 'customId': 20430}"
4,customfield_18230,Public Documentation URL,True,True,True,True,"['cf[18230]', 'Public Documentation URL']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:url', 'customId': 18230}"
5,customfield_18231,Product Space Name,True,True,True,True,"['cf[18231]', 'Product Space Name']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 18231}"
6,customfield_16732,Review Status,True,True,True,True,"['cf[16732]', 'Review Status']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons', 'customId': 16732}"
7,customfield_14430,Done Criteria,True,True,True,True,"['cf[14430]', 'Done Criteria']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 14430}"
8,customfield_16730,Feedback About,True,True,True,True,"['cf[16730]', 'Feedback About']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 16730}"
9,resolution,Resolution,False,True,True,True,['resolution'],"{'type': 'resolution', 'system': 'resolution'}"
10,customfield_10630,Business Value,True,True,True,True,"['Business Value', 'cf[10630]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 10630}"
11,customfield_12930,Testing Notes,True,True,True,True,"['cf[12930]', 'Testing Notes']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12930}"
12,customfield_10621,Is,True,True,True,True,"['cf[10621]', 'Is']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 10621}"
13,customfield_10623,Story Points,True,True,True,True,"['cf[10623]', 'Story Points']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 10623}"
14,customfield_21632,Total Story Points,True,True,True,True,"['cf[21632]', 'Total Story Points']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 21632}"
15,customfield_21631,Last Update On,True,True,True,True,"['cf[21631]', 'Last Update On']","{'type': 'date', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datepicker', 'customId': 21631}"
16,lastViewed,Last Viewed,False,False,True,False,['lastViewed'],"{'type': 'datetime', 'system': 'lastViewed'}"
17,customfield_21630,Latest Update,True,True,True,True,"['cf[21630]', 'Latest Update']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 21630}"
18,customfield_17130,Symptom Severity,True,True,True,True,"['cf[17130]', 'Symptom Severity']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 17130}"
19,customfield_19430,Introduced in Version,True,True,True,True,"['cf[19430]', 'Introduced in Version']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 19430}"
20,customfield_23130,Battery Impact,True,True,True,True,"['Battery Impact', 'cf[23130]']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 23130}"
21,customfield_17930,Unique Views,True,True,True,True,"['cf[17930]', 'Unique Views']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 17930}"
22,customfield_17933,Flaky Count,True,True,True,True,"['cf[17933]', 'Flaky Count']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 17933}"
23,labels,Labels,False,True,True,True,['labels'],"{'type': 'array', 'items': 'string', 'system': 'labels'}"
24,customfield_10610,Support reference count,True,True,True,True,"['cf[10610]', 'Support reference count']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 10610}"
25,aggregatetimeoriginalestimate,Σ Original Estimate,False,False,True,False,[],"{'type': 'number', 'system': 'aggregatetimeoriginalestimate'}"
26,issuelinks,Linked Issues,False,True,True,True,[],"{'type': 'array', 'items': 'issuelinks', 'system': 'issuelinks'}"
27,assignee,Assignee,False,True,True,True,['assignee'],"{'type': 'user', 'system': 'assignee'}"
28,customfield_22831,Affected App(s),True,True,True,True,"['Affected App(s)', 'cf[22831]']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 22831}"
29,customfield_22830,Related Product(s),True,True,True,True,"['cf[22830]', 'Related Product(s)']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiselect', 'customId': 22830}"
30,customfield_20530,Team Central,True,True,True,True,"['cf[20530]', 'Team Central']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:url', 'customId': 20530}"
31,customfield_16030,Development Effort,True,True,True,True,"['cf[16030]', 'Development Effort']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 16030}"
32,components,Component/s,False,True,True,True,['component'],"{'type': 'array', 'items': 'component', 'system': 'components'}"
33,customfield_22035,Affected Product(s),True,True,True,True,"['Affected Product(s)', 'cf[22035]']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiselect', 'customId': 22035}"
34,customfield_10290,Internal Priority,True,True,True,True,"['cf[10290]', 'Internal Priority']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 10290}"
35,customfield_22034,Vulnerability Classes,True,True,True,True,"['cf[22034]', 'Vulnerability Classes']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiselect', 'customId': 22034}"
36,customfield_22033,Disability Cohort,True,True,True,True,"['cf[22033]', 'Disability Cohort']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 22033}"
37,customfield_22032,WCAG Success Criteria,True,True,True,True,"['cf[22032]', 'WCAG Success Criteria']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 22032}"
38,customfield_22031,WCAG Level,True,True,True,True,"['cf[22031]', 'WCAG Level']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 22031}"
39,customfield_12231,Tested By,True,True,True,True,"['cf[12231]', 'Tested By']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 12231}"
40,customfield_22030,WCAG Version,True,True,True,True,"['cf[22030]', 'WCAG Version']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons', 'customId': 22030}"
41,customfield_12230,Developed By,True,True,True,True,"['cf[12230]', 'Developed By']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 12230}"
42,customfield_10600,Priority for beta phase,True,True,True,True,"['cf[10600]', 'Priority for beta phase']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 10600}"
43,customfield_11930,Sprint,True,True,True,True,"['cf[11930]', 'Sprint']","{'type': 'array', 'items': 'string', 'custom': 'com.pyxis.greenhopper.jira:gh-sprint', 'customId': 11930}"
44,customfield_10723,Dev Provided By,True,True,True,True,"['cf[10723]', 'Dev Provided By']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 10723}"
45,customfield_23730,Cloud Delivery Model,True,True,True,True,"['cf[23730]', 'Cloud Delivery Model']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 23730}"
46,customfield_17230,UIS,True,True,True,True,"['cf[17230]', 'UIS']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 17230}"
47,subtasks,Sub-Tasks,False,False,True,False,['subtasks'],"{'type': 'array', 'items': 'issuelinks', 'system': 'subtasks'}"
48,customfield_13430,Effort,True,True,True,True,"['cf[13430]', 'Effort']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 13430}"
49,customfield_11130,Global Rank (Obsolete),True,True,True,True,"['cf[11130]', 'Global Rank (Obsolete)']","{'type': 'any', 'custom': 'com.pyxis.greenhopper.jira:gh-global-rank', 'customId': 11130}"
