,self,id,description,iconUrl,name,subtask,avatarId
Bug,https://jira.atlassian.com/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51493&avatarType=issuetype,Bug,False,51493.0
Suggestion,https://jira.atlassian.com/rest/api/2/issuetype/10000,10000,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51505&avatarType=issuetype,Suggestion,False,51505.0
Support Request,https://jira.atlassian.com/rest/api/2/issuetype/5,5,Issue that is likely specific to the installation,https://jira.atlassian.com/images/icons/status_generic.gif,Support Request,False,
Public Security Vulnerability,https://jira.atlassian.com/rest/api/2/issuetype/10700,10700,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=98192&avatarType=issuetype,Public Security Vulnerability,False,98192.0
Usability,https://jira.atlassian.com/rest/api/2/issuetype/11400,11400,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51490&avatarType=issuetype,Usability,False,51490.0
Sub-task,https://jira.atlassian.com/rest/api/2/issuetype/6,6,The sub-task of the issue,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51506&avatarType=issuetype,Sub-task,True,51506.0
New Feature,https://jira.atlassian.com/rest/api/2/issuetype/2,2,"A new feature of the product, which has yet to be developed.",https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51501&avatarType=issuetype,New Feature,False,51501.0
Task,https://jira.atlassian.com/rest/api/2/issuetype/3,3,A task that needs to be done.,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51508&avatarType=issuetype,Task,False,51508.0
Improvement,https://jira.atlassian.com/rest/api/2/issuetype/4,4,An improvement or enhancement to an existing feature or task.,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51500&avatarType=issuetype,Improvement,False,51500.0
Third-party issue,https://jira.atlassian.com/rest/api/2/issuetype/7,7,An issue relating to a third-party product (eg. app server) that nevertheless affects this product,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51490&avatarType=issuetype,Third-party issue,False,51490.0
