,id,key,name,untranslatedName,custom,orderable,navigable,searchable,clauseNames,schema
0,customfield_19440,customfield_19440,Reason for rejection / withdrawal,Reason for rejection / withdrawal,True,True,True,True,"['Reason for rejection / withdrawal', 'Reason for rejection / withdrawal[Dropdown]', 'cf[19440]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19440}"
1,customfield_19561,customfield_19561,App target product,App target product,True,True,True,True,"['App target product[Dropdown]', 'cf[19561]', 'App target product']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19561}"
2,statusCategory,statusCategory,Status Category,,False,False,True,True,['statusCategory'],"{'type': 'statusCategory', 'system': 'statusCategory'}"
3,parent,parent,Parent,,False,True,True,True,['parent'],
4,resolution,resolution,Resolution,,False,True,True,True,['resolution'],"{'type': 'resolution', 'system': 'resolution'}"
5,customfield_20307,customfield_20307,Flagged By,Flagged By,True,True,True,True,"['Flagged By[Labels]', 'cf[20307]', 'Flagged By']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 20307}"
6,customfield_20306,customfield_20306,Violation type,Violation type,True,True,True,True,"['Violation type[Dropdown]', 'Violation type', 'cf[20306]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 20306}"
7,customfield_15080,customfield_15080,Changelog entry text,Changelog entry text,True,True,True,True,"['Changelog entry text[Short text]', 'cf[15080]', 'Changelog entry text']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 15080}"
8,customfield_24800,customfield_24800,FedRAMP Entity ID (as URL),FedRAMP Entity ID (as URL),True,True,True,True,"['cf[24800]', 'FedRAMP Entity ID (as URL)[URL Field]', 'FedRAMP Entity ID (as URL)']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:url', 'customId': 24800}"
9,lastViewed,lastViewed,Last Viewed,,False,False,True,False,['lastViewed'],"{'type': 'datetime', 'system': 'lastViewed'}"
10,customfield_19553,customfield_19553,The partner account the app is to be transferred to,The partner account the app is to be transferred to,True,True,True,True,"['cf[19553]', 'The partner account the app is to be transferred to', 'The partner account the app is to be transferred to[Number]']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 19553}"
11,customfield_24801,customfield_24801,FedRAMP Site Name,FedRAMP Site Name,True,True,True,True,"['cf[24801]', 'FedRAMP Site Name[Short text]', 'FedRAMP Site Name']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 24801}"
12,customfield_19432,customfield_19432,Links,Links,True,True,True,True,"['cf[19432]', 'Links', 'Links[Short text]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19432}"
13,customfield_19433,customfield_19433,Visibility,Visibility,True,True,True,True,"['Visibility[Dropdown]', 'Visibility', 'cf[19433]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19433}"
14,customfield_24924,customfield_24924,App Product Compatibility,App Product Compatibility,True,True,True,True,"['App Product Compatibility', 'App Product Compatibility[Select List (multiple choices)]', 'cf[24924]']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiselect', 'customId': 24924}"
15,customfield_24929,customfield_24929,Time to first response (Regional),Time to first response (Regional),True,True,True,True,"['cf[24929]', 'Time to first response (Regional)']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 24929}"
16,customfield_19556,customfield_19556,App payment model,App payment model,True,True,True,True,"['cf[19556]', 'App payment model[Radio Buttons]', 'App payment model']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons', 'customId': 19556}"
17,customfield_19557,customfield_19557,App category,App category,True,True,True,True,"['App category[Labels]', 'cf[19557]', 'App category']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 19557}"
18,customfield_19436,customfield_19436,Hosting,Hosting,True,True,True,True,"['Hosting[Checkboxes]', 'cf[19436]', 'Hosting']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 19436}"
19,customfield_19558,customfield_19558,CEPEU,CEPEU,True,True,True,True,"['CEPEU[Number]', 'cf[19558]', 'CEPEU']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 19558}"
20,customfield_19316,customfield_19316,14000 users,14000 users,True,True,True,True,"['14000 users', '14000 users[Number]', 'cf[19316]']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 19316}"
21,aggregatetimeoriginalestimate,aggregatetimeoriginalestimate,Σ Original Estimate,,False,False,True,False,[],"{'type': 'number', 'system': 'aggregatetimeoriginalestimate'}"
22,issuelinks,issuelinks,Linked Issues,,False,True,True,True,"['issueLink', 'workItemLink']","{'type': 'array', 'items': 'issuelinks', 'system': 'issuelinks'}"
23,assignee,assignee,Assignee,,False,True,True,True,['assignee'],"{'type': 'user', 'system': 'assignee'}"
24,customfield_24930,customfield_24930,App Transfer Target Vendor ID,App Transfer Target Vendor ID,True,True,True,True,"['App Transfer Target Vendor ID', 'cf[24930]', 'App Transfer Target Vendor ID[Number]']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 24930}"
25,customfield_19662,customfield_19662,Target migrateability quarter,Target migrateability quarter,True,True,True,True,"['cf[19662]', 'Target migrateability quarter[Version Picker (single version)]', 'Target migrateability quarter']","{'type': 'version', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:version', 'customId': 19662}"
26,customfield_19663,customfield_19663,Resolved as,Resolved as,True,True,True,True,"['cf[19663]', 'Resolved as[Dropdown]', 'Resolved as']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19663}"
27,customfield_19300,customfield_19300,Request language,Request language,True,True,True,True,"['cf[19300]', 'Request language']","{'type': 'sd-request-lang', 'custom': 'com.atlassian.servicedesk.servicedesk-lingo-integration-plugin:sd-request-language', 'customId': 19300}"
28,customfield_19664,customfield_19664,Ecoscanner Workflow,Ecoscanner Workflow,True,True,True,True,"['Ecoscanner Workflow[Short text]', 'cf[19664]', 'Ecoscanner Workflow']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19664}"
29,customfield_19302,customfield_19302,App Key / App ID,App Key / App ID,True,True,True,True,"['App Key / App ID', 'cf[19302]', 'App Key / App ID[Short text]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19302}"
30,customfield_19544,customfield_19544,Promotion Code,Promotion Code,True,True,True,True,"['Promotion Code[Short text]', 'Promotion Code', 'cf[19544]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19544}"
31,customfield_19660,customfield_19660,Unblocked quarter,Unblocked quarter,True,True,True,True,"['Unblocked quarter', 'Unblocked quarter[Version Picker (single version)]', 'cf[19660]']","{'type': 'version', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:version', 'customId': 19660}"
32,customfield_19781,customfield_19781,Waiting for Partner,Waiting for Partner,True,True,True,True,"['cf[19781]', 'Waiting for Partner']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 19781}"
33,customfield_19661,customfield_19661,PDM,PDM,True,True,True,True,"['PDM', 'PDM[User Picker (single user)]', 'cf[19661]']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 19661}"
